country,year
Afghanistan,
Albania,
Algeria,
Andorra,
Angola,
Antigua and Barbuda,2016
Argentina,
Armenia,
Australia,2018
Austria,2001
Azerbaijan,
Bahamas,2005
Bahrain,
Bangladesh,
Barbados,2016
Belarus,
Belgium,2013
Belize,2016
Benin,
Bhutan,
Bolivia,
Bosnia and Herzegovina,
Botswana,
Brazil,
Brunei,
Bulgaria,
Burkina Faso,
Burundi,
Cabo Verde,
Cambodia,
Cameroon,
Canada,
Central African Republic,
Chad,
Chile,
China,2024
Colombia,
Comoros,
Congo,
Costa Rica,
Croatia,2015
Cuba,
Cyprus,2001
Czech Republic,2019
Denmark,
Djibouti,
Dominica,2016
Dominican Republic,
East Timor,
Ecuador,
Egypt,
El Salvador,2022
Equatorial Guinea,
Eritrea,
Estonia,
Eswatini,
Ethiopia,
Fiji,
Finland,
France,2001
Gabon,
Gambia,
Georgia,
Germany,2013
Ghana,
Greece,2017
Grenada,2016
Guatemala,2022
Guinea,
Guinea-Bissau,
Guyana,
Haiti,
Honduras,2016
Hungary,
Iceland,
India,
Indonesia,2024
Iran,
Iraq,
Ireland,
Israel,
Italy,2008
Jamaica,2009
Japan,2026
Jordan,
Kazakhstan,
Kenya,
Kiribati,
"Korea, North",
"Korea, South",
Kosovo,
Kuwait,
Kyrgyzstan,
Laos,
Latvia,
Lebanon,
Lesotho,
Liberia,
Libya,
Liechtenstein,
Lithuania,
Luxembourg,
Madagascar,
Malawi,
Malaysia,
Maldives,
Mali,
Malta,
Marshall Islands,
Mauritania,
Mauritius,
Mexico,2009
Micronesia,
Moldova,
Monaco,2015
Mongolia,
Montenegro,2015
Morocco,2014
Mozambique,
Myanmar,
Namibia,
Nauru,
Nepal,
Netherlands,2013
New Zealand,
Nicaragua,
Niger,
Nigeria,
North Macedonia,
Norway,
Oman,
Pakistan,
Palau,
Panama,
Papua New Guinea,
Paraguay,
Peru,
Philippines,
Poland,2025
Portugal,2001
Qatar,
Romania,
Russia,
Rwanda,
Saint Kitts and Nevis,
Saint Lucia,2005
Saint Vincent and the Grenadines,2016
Samoa,
San Marino,
Sao Tome and Principe,
Saudi Arabia,
Senegal,
Serbia,
Seychelles,
Sierra Leone,
Singapore,2018
Slovakia,
Slovenia,
Solomon Islands,
Somalia,
South Africa,
South Sudan,
Spain,1999
Sri Lanka,2022
Sudan,
Suriname,
Sweden,
Switzerland,2022
Syria,
Taiwan,
Tajikistan,
Tanzania,
Thailand,2018
Togo,
Tonga,
Trinidad and Tobago,
Tunisia,
Turkey,2001
Turkmenistan,
Tuvalu,
Uganda,
Ukraine,
United Arab Emirates,2019
United Kingdom,1999
United States,2002
Uruguay,
Uzbekistan,
Vanuatu,
Vatican City,2015
Venezuela,
Vietnam,2018
Yemen,
Zambia,
Zimbabwe,
