country,date,status,comment
England,01/01/2022,living,
Sri Lanka,08/01/2022,holiday,
England,23/01/2022,living,
France,30/01/2022,holiday,
England,07/02/2022,living,
France,19/02/2022,living,
England,22/04/2022,living,
Scotland,01/05/2022,holiday,
England,03/05/2022,living,
Spain,05/05/2022,holiday,
England,08/05/2022,living,
Mexico,19/07/2022,backpacking,
Guatemala,28/07/2022,backpacking,check
El Salvador,09/08/2022,backpacking,check
England,23/08/2022,living,check
Scotland,11/09/2022,living,
England,16/12/2022,living,
France,07/01/2023,living,
Scotland,14/01/2023,living,
Spain,28/03/2023,holiday,
England,02/04/2023,holiday,
Scotland,03/04/2023,living,
Spain,24/05/2023,living,
