id    date    podcast_id    episode    link    duration
1    03/01/2023    1    Optimise your brain    https://open.spotify.com/episode/0n2qAM8Vwc4lMbToaCmDSW?si=d7272fd214c24749    91
2    04/01/2023    2    Not A Lot of Cop    https://open.spotify.com/episode/1qxWsRSTVW4MyB0bFqDfJ7?si=1930800b25c54245    58
3    05/01/2023    3    Edinburgh Fringe Festival    https://open.spotify.com/episode/6IRmLKyKXLVh6bIf1UGDMN?si=cf1c9f8fccc6405d	31
4    20/01/2023    4    Jesse Lingard    https://open.spotify.com/episode/5Cci0tzSWEgH0OzoAwSEAp?si=7f8de422ca5d4867    76
5    21/01/2023    4    Dr. Tali Short    https://open.spotify.com/episode/4EQMgPo0PVwhQ01N9EsscL?si=3fbb2e2581774c42    99
6    23/01/2023    5    Back Yourself Into The Future    https://open.spotify.com/episode/4A2FY2kfdgmkYJSuMX2Xno?si=cfb5745cd49442de    36
7    24/01/2023    2    School's out for winter!    https://open.spotify.com/episode/4h9jf2EdEJXXRKVUdqdfXv?si=cce63cca8ae045c7    54
8    26/01/2023    6    The Truth About Population Collapse    https://open.spotify.com/episode/2p61DHoEOsAMvPjoVgT8G0?si=b1dc15dddd3b446a    48
9    28/01/2023    7    My Son Hates His Own Home    https://open.spotify.com/episode/6rbL8AVK4YfJCZCUhLa0Qh?si=d7e6aaac573e42bb    47
10    29/01/2023    2    Death by 100 tiny scandals    https://open.spotify.com/episode/4h9jf2EdEJXXRKVUdqdfXv?si=693418b762114ffe    54
