date    type    duration
15/01/2023    gym    81
16/01/2023    gym    90
17/01/2023    gym    35
18/01/2023    gym    35
21/01/2023    gym    30
23/01/2023    gym    46
25/01/2023    gym    81
26/01/2023    gym    45
26/01/2023    team    90
27/01/2023    pool    10
28/01/2023    gym    30
30/01/2023    team    90
31/01/2023    individual    50
01/02/2023    match    25
02/02/2023    team    90
04/02/2023    match    40
06/02/2023    gym    50
07/02/2023    gym    48
08/02/2023    individual    70
10/02/2023    gym    72
27/02/2023    team    90
01/03/2023    match    90
02/03/2023    gym     60
06/03/2023    team    90
09/03/2023    team    90
11/03/2023    match    90
13/03/2023    team    90
16/03/2023    team    90
18/03/2023    match    90
20/03/2023    team    90
23/03/2023    team    90
25/03/2023    match    90
27/03/2023    pt    60
27/03/2023    yoga    90
27/03/2023    team    90
03/04/2023    team    90
04/04/2023    pt    60
06/04/2023    team    90
06/04/2023    gym    20
07/04/2023    gym    113
08/04/2023    yoga    60
14/04/2023    pt    60
15/04/2023    upper    81
16/04/2023    gym    85
17/04/2023    gym    15
17/04/2023    team    90
18/04/2023    pt    60
19/04/2023    upper    53
20/04/2023    team    90
21/04/2023    upper    51
22/04/2023    match    90
23/04/2023    gym    30
24/04/2023    team    90
25/04/2023    gym    45
26/04/2023    match    30
